Customer ID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,FirstPurchase,LastPurchase,AvgOrderValue,CustomerLifespan,Churned,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Label,PCA1,PCA2,DBSCAN_Cluster,DBSCAN_Label,Churn_Probability,Churn_Risk
12346.0,529,11,372.86,70,26,2009-12-14 08:34:00,2010-06-28 13:53:00,33.9,196,1,1,5,2,8,Frequent,0,Lost Customers,-0.41147599735621165,1.4339817377549569,0,Cluster 0,0.73026806,High
12347.0,2,8,4921.53,2967,126,2010-10-31 14:20:00,2011-12-07 15:52:00,615.19,402,0,5,4,5,14,Champions,1,Regular Buyers,0.5200220756993447,-0.8090890841331494,0,Cluster 0,0.27639705,Low
12348.0,75,5,2019.4,2714,25,2010-09-27 14:59:00,2011-09-25 13:13:00,403.88,362,0,3,4,4,11,Loyal,1,Regular Buyers,0.10543824796892909,-0.592732105949218,0,Cluster 0,0.44567007,Medium
12349.0,19,4,4428.69,1624,138,2010-04-29 13:20:00,2011-11-21 09:51:00,1107.17,570,0,5,3,5,13,Loyal,1,Regular Buyers,0.2583605237716133,-0.788923659410597,0,Cluster 0,0.2662815,Low
12350.0,310,1,334.4,197,17,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,0,1,2,1,2,5,At Risk,0,Lost Customers,-0.5746858457837332,0.3598561761094381,0,Cluster 0,0.74422854,High
12351.0,375,1,300.93,261,21,2010-11-29 15:23:00,2010-11-29 15:23:00,300.93,0,1,2,1,2,5,At Risk,0,Lost Customers,-0.6844485078966206,0.646125257310903,0,Cluster 0,0.7589053,High
12352.0,36,10,2849.84,724,70,2010-11-12 10:20:00,2011-11-03 14:37:00,284.98,356,0,4,5,4,13,Champions,1,Regular Buyers,0.4720557368364169,-0.6908515042288293,0,Cluster 0,0.46718934,Medium
12353.0,204,2,406.76,212,23,2010-10-27 12:44:00,2011-05-19 17:47:00,203.38,204,1,2,2,2,6,At Risk,1,Regular Buyers,-0.3422619472324135,-0.09595267650408282,0,Cluster 0,0.7263376,High
12354.0,232,1,1079.4,530,58,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,0,1,2,1,3,6,At Risk,1,Regular Buyers,-0.4101175892460812,0.03439926253885579,0,Cluster 0,0.7026731,High
12355.0,214,2,947.61,543,35,2010-05-21 11:59:00,2011-05-09 13:49:00,473.8,353,1,2,2,3,7,At Risk,1,Regular Buyers,-0.3336989782870018,-0.03791651565431448,0,Cluster 0,0.5661574,Medium
